"date","Approve","Disapprove","Republican","Independent","Democrat","Pres.Party"
"2009-01-13",34,61,75,6,28,"R"
"2008-12-16",29,67,67,7,25,"R"
"2008-12-09",32,61,72,9,26,"R"
"2008-11-18",29,66,66,6,28,"R"
"2008-11-11",28,68,63,5,21,"R"
"2008-11-04",25,70,61,5,20,"R"
"2008-10-28",31,66,63,7,24,"R"
"2008-10-14",25,71,57,3,20,"R"
"2008-10-07",25,70,55,5,19,"R"
"2008-09-29",27,69,64,3,22,"R"
"2008-09-13",31,65,71,3,23,"R"
"2008-09-09",33,64,71,4,31,"R"
"2008-08-25",29,66,67,5,26,"R"
"2008-08-12",33,61,71,7,25,"R"
"2008-07-29",32,65,70,6,28,"R"
"2008-07-15",31,61,67,7,28,"R"
"2008-06-21",28,68,60,6,21,"R"
"2008-06-14",30,64,68,5,22,"R"
"2008-06-03",28,68,63,7,23,"R"
"2008-05-13",29,65,66,7,24,"R"
"2008-05-05",28,67,60,7,26,"R"
"2008-04-22",28,69,66,7,23,"R"
"2008-04-11",28,67,66,6,24,"R"
"2008-03-18",32,64,71,9,24,"R"
"2008-03-11",32,64,72,9,23,"R"
"2008-02-26",32,62,73,6,27,"R"
"2008-02-16",31,65,73,9,27,"R"
"2008-02-12",33,61,75,7,27,"R"
"2008-02-04",34,61,74,8,27,"R"
"2008-01-15",34,60,72,9,28,"R"
"2008-01-08",32,64,76,7,20,"R"
"2007-12-18",32,65,77,6,23,"R"
"2007-12-11",37,57,78,9,28,"R"
"2007-12-04",34,62,71,8,29,"R"
"2007-11-16",32,61,75,8,23,"R"
"2007-11-06",31,64,75,6,26,"R"
"2007-10-16",32,64,70,5,31,"R"
"2007-10-09",32,64,67,7,27,"R"
"2007-09-18",36,62,77,10,29,"R"
"2007-09-10",33,62,79,9,23,"R"
"2007-08-18",32,63,69,6,25,"R"
"2007-08-07",34,62,72,7,28,"R"
"2007-07-17",31,63,65,5,27,"R"
"2007-07-10",29,66,68,7,21,"R"
"2007-06-16",32,65,73,8,24,"R"
"2007-06-05",32,62,70,6,22,"R"
"2007-05-15",33,62,73,9,27,"R"
"2007-05-08",34,63,74,7,30,"R"
"2007-04-17",36,60,76,9,29,"R"
"2007-04-07",38,58,75,8,34,"R"
"2007-03-27",34,62,73,6,28,"R"
"2007-03-16",35,61,75,5,27,"R"
"2007-03-06",33,63,70,9,28,"R"
"2007-02-13",37,59,76,10,34,"R"
"2007-02-06",32,65,78,7,23,"R"
"2007-01-20",36,61,76,8,29,"R"
"2007-01-16",34,63,71,8,27,"R"
"2007-01-09",37,59,79,7,31,"R"
"2006-12-16",35,61,76,7,29,"R"
"2006-12-12",38,59,80,9,30,"R"
"2006-11-14",33,62,81,7,28,"R"
"2006-11-07",38,56,81,7,31,"R"
"2006-10-24",37,58,85,8,28,"R"
"2006-10-14",37,57,82,7,30,"R"
"2006-10-10",37,59,77,12,31,"R"
"2006-09-19",44,51,86,15,34,"R"
"2006-09-12",39,56,84,9,30,"R"
"2006-08-22",42,54,81,11,36,"R"
"2006-08-12",37,59,81,8,26,"R"
"2006-08-01",40,56,82,9,35,"R"
"2006-07-25",37,59,82,9,27,"R"
"2006-07-11",40,55,78,10,36,"R"
"2006-06-27",37,60,81,10,32,"R"
"2006-06-13",38,56,77,9,27,"R"
"2006-06-06",36,57,78,8,28,"R"
"2006-05-13",33,61,70,12,23,"R"
"2006-05-09",31,65,68,4,26,"R"
"2006-05-02",34,63,81,6,21,"R"
"2006-04-15",36,59,74,11,26,"R"
"2006-04-11",37,60,78,11,26,"R"
"2006-03-18",37,59,78,10,29,"R"
"2006-03-14",36,60,75,13,23,"R"
"2006-03-03",38,60,82,10,27,"R"
"2006-02-14",39,56,79,9,34,"R"
"2006-02-11",42,55,81,8,35,"R"
"2006-01-24",43,54,87,13,29,"R"
"2006-01-14",43,53,86,10,32,"R"
"2006-01-10",43,54,85,9,32,"R"
"2005-12-24",43,53,89,17,31,"R"
"2005-12-20",41,56,86,10,31,"R"
"2005-12-13",42,55,81,10,38,"R"
"2005-12-10",43,52,84,9,33,"R"
"2005-11-22",38,57,81,9,26,"R"
"2005-11-15",37,60,80,7,28,"R"
"2005-11-12",40,55,79,12,32,"R"
"2005-11-01",41,56,80,7,35,"R"
"2005-10-28",41,56,82,10,34,"R"
"2005-10-25",42,55,83,8,34,"R"
"2005-10-18",39,58,84,8,32,"R"
"2005-09-30",45,50,85,15,37,"R"
"2005-09-20",40,58,85,12,31,"R"
"2005-09-17",45,52,86,10,39,"R"
"2005-09-13",46,51,85,13,39,"R"
"2005-09-01",45,52,86,19,35,"R"
"2005-08-27",40,56,82,13,32,"R"
"2005-08-13",45,51,85,13,40,"R"
"2005-08-09",45,51,86,12,36,"R"
"2005-07-30",44,51,87,17,36,"R"
"2005-07-26",49,48,87,17,45,"R"
"2005-07-12",49,48,86,19,46,"R"
"2005-07-02",46,51,90,16,37,"R"
"2005-06-28",45,53,89,11,37,"R"
"2005-06-21",47,51,86,16,40,"R"
"2005-06-10",47,49,88,11,40,"R"
"2005-05-28",48,47,88,16,38,"R"
"2005-05-24",46,50,89,15,41,"R"
"2005-05-07",50,45,87,24,38,"R"
"2005-05-03",48,49,88,14,39,"R"
"2005-04-23",48,49,87,16,40,"R"
"2005-04-09",50,45,87,18,42,"R"
"2005-04-04",48,48,89,16,34,"R"
"2005-03-25",45,49,87,14,42,"R"
"2005-03-22",52,44,86,19,47,"R"
"2005-03-12",52,44,91,16,46,"R"
"2005-03-01",52,45,89,15,46,"R"
"2005-02-26",51,45,92,18,37,"R"
"2005-02-12",49,48,94,17,35,"R"
"2005-02-08",57,40,91,18,52,"R"
"2005-01-18",51,46,90,22,41,"R"
"2005-01-11",52,44,91,21,44,"R"
"2005-01-07",52,44,91,19,42,"R"
"2004-12-21",49,46,88,14,48,"R"
"2004-12-10",53,44,93,11,48,"R"
"2004-11-23",55,42,96,15,43,"R"
"2004-11-12",53,44,92,16,48,"R"
"2004-11-02",48,47,93,11,42,"R"
"2004-10-26",51,46,92,14,46,"R"
"2004-10-18",51,47,89,15,46,"R"
"2004-10-16",48,49,91,13,42,"R"
"2004-10-12",47,49,90,8,42,"R"
"2004-10-05",50,48,94,11,40,"R"
"2004-09-28",54,44,91,14,47,"R"
"2004-09-17",52,45,95,12,41,"R"
"2004-09-07",52,46,92,12,47,"R"
"2004-08-27",49,47,85,14,45,"R"
"2004-08-13",51,46,92,13,44,"R"
"2004-08-03",48,49,91,14,37,"R"
"2004-07-23",49,47,89,13,40,"R"
"2004-07-13",47,49,87,15,39,"R"
"2004-06-25",48,49,90,14,42,"R"
"2004-06-08",49,49,85,19,42,"R"
"2004-05-25",47,49,89,12,40,"R"
"2004-05-11",46,51,89,14,39,"R"
"2004-05-06",49,48,91,18,40,"R"
"2004-04-20",52,45,92,16,51,"R"
"2004-04-10",52,45,91,18,46,"R"
"2004-03-30",53,44,90,19,44,"R"
"2004-03-13",50,47,91,16,47,"R"
"2004-03-09",49,48,91,17,41,"R"
"2004-02-19",51,46,91,16,49,"R"
"2004-02-14",51,46,88,19,47,"R"
"2004-02-10",52,44,89,14,51,"R"
"2004-02-03",49,48,89,12,48,"R"
"2004-01-17",53,44,88,21,56,"R"
"2004-01-13",59,38,92,23,60,"R"
"2004-01-07",60,35,93,29,56,"R"
"2003-12-18",63,34,94,36,54,"R"
"2003-12-16",56,41,88,22,49,"R"
"2003-12-09",55,43,90,24,51,"R"
"2003-11-18",50,47,88,20,42,"R"
"2003-11-14",51,45,87,19,50,"R"
"2003-11-07",54,43,89,23,46,"R"
"2003-10-28",53,42,93,16,46,"R"
"2003-10-14",56,40,88,31,49,"R"
"2003-10-10",55,42,88,28,50,"R"
"2003-09-23",50,47,86,16,52,"R"
"2003-09-12",52,43,89,23,46,"R"
"2003-08-28",59,37,95,28,53,"R"
"2003-08-08",60,36,93,31,60,"R"
"2003-07-29",58,38,92,28,51,"R"
"2003-07-22",59,38,90,32,57,"R"
"2003-07-11",62,34,93,29,57,"R"
"2003-07-01",61,36,94,29,60,"R"
"2003-06-17",63,33,92,35,61,"R"
"2003-06-12",62,34,90,37,60,"R"
"2003-06-03",64,32,94,38,61,"R"
"2003-05-23",66,30,94,44,62,"R"
"2003-05-09",69,28,96,40,67,"R"
"2003-04-25",70,26,94,48,68,"R"
"2003-04-18",71,24,97,46,70,"R"
"2003-04-11",69,26,95,50,61,"R"
"2003-04-08",70,27,96,44,68,"R"
"2003-04-01",71,26,94,47,69,"R"
"2003-03-27",69,27,96,45,63,"R"
"2003-03-25",71,25,94,48,69,"R"
"2003-03-17",58,38,92,31,50,"R"
"2003-03-07",57,37,88,32,52,"R"
"2003-02-28",57,37,87,30,54,"R"
"2003-02-21",58,37,90,34,51,"R"
"2003-02-11",61,34,92,40,55,"R"
"2003-02-08",59,35,91,38,50,"R"
"2003-02-04",61,35,92,30,55,"R"
"2003-01-27",60,36,93,32,54,"R"
"2003-01-24",58,36,88,34,52,"R"
"2003-01-18",61,34,90,41,51,"R"
"2003-01-14",58,37,93,26,52,"R"
"2003-01-07",63,32,96,37,58,"R"
"2002-12-24",61,32,88,41,56,"R"
"2002-12-19",63,33,97,37,55,"R"
"2002-12-12",63,32,92,33,63,"R"
"2002-12-10",64,29,92,38,59,"R"
"2002-11-26",65,28,94,38,64,"R"
"2002-11-16",66,26,94,45,59,"R"
"2002-11-12",68,27,95,41,65,"R"
"2002-11-05",63,29,91,37,63,"R"
"2002-10-24",67,28,93,53,63,"R"
"2002-10-19",62,31,90,43,56,"R"
"2002-10-08",67,28,95,45,64,"R"
"2002-09-28",68,26,94,46,63,"R"
"2002-09-24",66,30,93,48,61,"R"
"2002-09-18",70,26,94,50,69,"R"
"2002-09-10",66,30,92,44,59,"R"
"2002-09-06",66,29,92,44,68,"R"
"2002-08-23",65,28,94,49,56,"R"
"2002-08-10",68,26,93,49,65,"R"
"2002-08-02",71,23,96,48,71,"R"
"2002-07-30",69,26,93,50,64,"R"
"2002-07-26",69,24,96,49,66,"R"
"2002-07-13",73,21,96,55,73,"R"
"2002-07-10",76,18,96,57,73,"R"
"2002-07-02",76,19,96,59,73,"R"
"2002-06-25",73,21,93,57,70,"R"
"2002-06-21",74,20,96,59,67,"R"
"2002-06-10",74,18,96,49,73,"R"
"2002-06-08",70,23,96,49,68,"R"
"2002-05-31",77,17,97,59,75,"R"
"2002-05-24",76,17,96,59,72,"R"
"2002-05-11",76,19,96,59,71,"R"
"2002-05-03",77,20,98,60,71,"R"
"2002-04-26",77,17,95,61,76,"R"
"2002-04-13",75,20,97,54,73,"R"
"2002-04-09",76,19,95,62,71,"R"
"2002-03-26",79,17,96,65,74,"R"
"2002-03-22",79,16,95,65,76,"R"
"2002-03-11",80,14,96,65,79,"R"
"2002-03-09",77,18,95,61,71,"R"
"2002-03-05",81,14,97,63,82,"R"
"2002-02-12",82,14,98,67,80,"R"
"2002-02-08",82,14,97,67,79,"R"
"2002-01-29",84,13,99,71,82,"R"
"2002-01-16",83,13,98,69,81,"R"
"2002-01-11",84,12,98,73,83,"R"
"2001-12-18",86,11,98,78,82,"R"
"2001-12-11",86,10,97,76,83,"R"
"2001-11-29",87,8,98,77,86,"R"
"2001-11-13",87,9,97,79,84,"R"
"2001-11-06",87,9,99,78,83,"R"
"2001-10-23",88,9,98,80,88,"R"
"2001-10-16",89,8,99,80,89,"R"
"2001-10-08",87,10,98,82,81,"R"
"2001-09-24",90,6,98,84,89,"R"
"2001-09-17",86,10,95,78,84,"R"
"2001-09-12",51,39,87,27,44,"R"
"2001-08-28",55,36,85,27,54,"R"
"2001-08-21",57,34,90,35,52,"R"
"2001-08-14",57,35,89,28,54,"R"
"2001-08-07",55,35,85,31,52,"R"
"2001-07-24",56,33,88,28,53,"R"
"2001-07-13",57,35,90,31,52,"R"
"2001-07-03",52,34,87,27,45,"R"
"2001-06-19",55,33,87,30,48,"R"
"2001-06-12",55,35,93,26,48,"R"
"2001-05-22",56,36,89,26,56,"R"
"2001-05-16",56,31,92,28,53,"R"
"2001-05-11",53,33,88,30,48,"R"
"2001-04-24",62,29,93,31,61,"R"
"2001-04-10",59,30,89,37,53,"R"
"2001-03-30",53,29,86,26,48,"R"
"2001-03-13",58,29,89,33,56,"R"
"2001-03-09",63,22,91,37,59,"R"
"2001-02-23",62,21,91,31,59,"R"
"2001-02-13",57,25,88,31,54,"R"
"2001-02-06",57,25,88,32,53,"R"
